,Country,Year,Density,
14,Eastern Africa,2015,Population mid-year estimates (millions),393.35
14,Eastern Africa,2015,Population mid-year estimates for males (millions),194.84
14,Eastern Africa,2015,Population mid-year estimates for females (millions),198.51
14,Eastern Africa,2015,Sex ratio (males per 100 females),98.2
14,Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.8
14,Eastern Africa,2015,Population aged 60+ years old (percentage),4.3
14,Eastern Africa,2015,Population density,59.1
14,Eastern Africa,2021,Population mid-year estimates (millions),461.14
14,Eastern Africa,2021,Population mid-year estimates for males (millions),228.64
14,Eastern Africa,2021,Population mid-year estimates for females (millions),232.5
14,Eastern Africa,2021,Sex ratio (males per 100 females),98.3
14,Eastern Africa,2021,Population aged 0 to 14 years old (percentage),41.7
14,Eastern Africa,2021,Population aged 60+ years old (percentage),4.5
14,Eastern Africa,2021,Population density,69.3
14,Eastern Africa,2021,Surface area (thousand km2),"6,667"
14,Eastern Africa,2022,Population mid-year estimates (millions),473
14,Eastern Africa,2022,Population mid-year estimates for males (millions),234.54
14,Eastern Africa,2022,Population mid-year estimates for females (millions),238.47
14,Eastern Africa,2022,Sex ratio (males per 100 females),98.4
14,Eastern Africa,2022,Population aged 0 to 14 years old (percentage),41.4
14,Eastern Africa,2022,Population aged 60+ years old (percentage),4.5
14,Eastern Africa,2022,Population density,71.1
17,Middle Africa,2010,Population mid-year estimates (millions),133.61
17,Middle Africa,2010,Population mid-year estimates for males (millions),66.32
17,Middle Africa,2010,Population mid-year estimates for females (millions),67.29
17,Middle Africa,2010,Sex ratio (males per 100 females),98.6
17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.6
17,Middle Africa,2010,Population aged 60+ years old (percentage),4.5
17,Middle Africa,2010,Population density,20.6
17,Middle Africa,2015,Population mid-year estimates (millions),157.4
17,Middle Africa,2015,Population mid-year estimates for males (millions),78.22
17,Middle Africa,2015,Population mid-year estimates for females (millions),79.18
17,Middle Africa,2015,Sex ratio (males per 100 females),98.8
17,Middle Africa,2015,Population aged 0 to 14 years old (percentage),45.7
17,Middle Africa,2015,Population aged 60+ years old (percentage),4.4
17,Middle Africa,2015,Population density,24.3
17,Middle Africa,2021,Population mid-year estimates (millions),190.27
17,Middle Africa,2021,Population mid-year estimates for males (millions),94.62
17,Middle Africa,2021,Population mid-year estimates for females (millions),95.64
17,Middle Africa,2021,Sex ratio (males per 100 females),98.9
17,Middle Africa,2021,Population aged 0 to 14 years old (percentage),45.5
17,Middle Africa,2021,Population aged 60+ years old (percentage),4.4
17,Middle Africa,2021,Population density,29.3
17,Middle Africa,2021,Surface area (thousand km2),"6,497"
17,Middle Africa,2022,Population mid-year estimates (millions),196.08
17,Middle Africa,2022,Population mid-year estimates for males (millions),97.51
17,Middle Africa,2022,Population mid-year estimates for females (millions),98.57
17,Middle Africa,2022,Sex ratio (males per 100 females),98.9
17,Middle Africa,2022,Population aged 0 to 14 years old (percentage),45.4
17,Middle Africa,2022,Population aged 60+ years old (percentage),4.4
17,Middle Africa,2022,Population density,30.2
18,Southern Africa,2010,Population mid-year estimates (millions),59.1
18,Southern Africa,2010,Population mid-year estimates for males (millions),28.5
18,Southern Africa,2010,Population mid-year estimates for females (millions),30.6
18,Southern Africa,2010,Sex ratio (males per 100 females),93.1
18,Southern Africa,2010,Population aged 0 to 14 years old (percentage),29.7
18,Southern Africa,2010,Population aged 60+ years old (percentage),7.3
18,Southern Africa,2010,Population density,22.2
18,Southern Africa,2015,Population mid-year estimates (millions),63.72
18,Southern Africa,2015,Population mid-year estimates for males (millions),30.99
18,Southern Africa,2015,Population mid-year estimates for females (millions),32.72
18,Southern Africa,2015,Sex ratio (males per 100 females),94.7
18,Southern Africa,2015,Population aged 0 to 14 years old (percentage),29.2
18,Southern Africa,2015,Population aged 60+ years old (percentage),7.8
18,Southern Africa,2015,Population density,24
18,Southern Africa,2021,Population mid-year estimates (millions),67.98
18,Southern Africa,2021,Population mid-year estimates for males (millions),33.11
18,Southern Africa,2021,Population mid-year estimates for females (millions),34.87
18,Southern Africa,2021,Sex ratio (males per 100 females),94.9
18,Southern Africa,2021,Population aged 0 to 14 years old (percentage),29.4
18,Southern Africa,2021,Population aged 60+ years old (percentage),8.4
18,Southern Africa,2021,Population density,25.6
18,Southern Africa,2021,Surface area (thousand km2),"2,651"
18,Southern Africa,2022,Population mid-year estimates (millions),68.6
18,Southern Africa,2022,Population mid-year estimates for males (millions),33.44
18,Southern Africa,2022,Population mid-year estimates for females (millions),35.16
18,Southern Africa,2022,Sex ratio (males per 100 females),95.1
18,Southern Africa,2022,Population aged 0 to 14 years old (percentage),29.3
18,Southern Africa,2022,Population aged 60+ years old (percentage),8.4
18,Southern Africa,2022,Population density,25.8
11,Western Africa,2010,Population mid-year estimates (millions),312.67
11,Western Africa,2010,Population mid-year estimates for males (millions),156.86
11,Western Africa,2010,Population mid-year estimates for females (millions),155.8
11,Western Africa,2010,Sex ratio (males per 100 females),100.7
11,Western Africa,2010,Population aged 0 to 14 years old (percentage),44.1
11,Western Africa,2010,Population aged 60+ years old (percentage),4.7
11,Western Africa,2010,Population density,51.6
11,Western Africa,2015,Population mid-year estimates (millions),358.28
11,Western Africa,2015,Population mid-year estimates for males (millions),179.94
11,Western Africa,2015,Population mid-year estimates for females (millions),178.35
11,Western Africa,2015,Sex ratio (males per 100 females),100.9
11,Western Africa,2015,Population aged 0 to 14 years old (percentage),44.1
11,Western Africa,2015,Population aged 60+ years old (percentage),4.6
11,Western Africa,2015,Population density,59.1
11,Western Africa,2021,Population mid-year estimates (millions),418.54
11,Western Africa,2021,Population mid-year estimates for males (millions),210.49
11,Western Africa,2021,Population mid-year estimates for females (millions),208.06
11,Western Africa,2021,Sex ratio (males per 100 females),101.2
11,Western Africa,2021,Population aged 0 to 14 years old (percentage),43
11,Western Africa,2021,Population aged 60+ years old (percentage),4.7
11,Western Africa,2021,Population density,69
11,Western Africa,2021,Surface area (thousand km2),"6,064"
11,Western Africa,2022,Population mid-year estimates (millions),429.08
11,Western Africa,2022,Population mid-year estimates for males (millions),215.82
11,Western Africa,2022,Population mid-year estimates for females (millions),213.26
11,Western Africa,2022,Sex ratio (males per 100 females),101.2
11,Western Africa,2022,Population aged 0 to 14 years old (percentage),42.7
11,Western Africa,2022,Population aged 60+ years old (percentage),4.7
11,Western Africa,2022,Population density,70.8
19,Americas,2010,Population mid-year estimates (millions),935.82
19,Americas,2010,Population mid-year estimates for males (millions),461.93
19,Americas,2010,Population mid-year estimates for females (millions),473.89
19,Americas,2010,Sex ratio (males per 100 females),97.5
19,Americas,2010,Population aged 0 to 14 years old (percentage),24.7
19,Americas,2010,Population aged 60+ years old (percentage),13.1
19,Americas,2010,Population density,24.1
19,Americas,2015,Population mid-year estimates (millions),983.54
19,Americas,2015,Population mid-year estimates for males (millions),485.81
19,Americas,2015,Population mid-year estimates for females (millions),497.73
19,Americas,2015,Sex ratio (males per 100 females),97.6
19,Americas,2015,Population aged 0 to 14 years old (percentage),23.2
19,Americas,2015,Population aged 60+ years old (percentage),14.7
19,Americas,2015,Population density,25.4
19,Americas,2021,Population mid-year estimates (millions),"1,031.38"
19,Americas,2021,Population mid-year estimates for males (millions),509.19
19,Americas,2021,Population mid-year estimates for females (millions),522.19
19,Americas,2021,Sex ratio (males per 100 females),97.5
19,Americas,2021,Population aged 0 to 14 years old (percentage),21.5
19,Americas,2021,Population aged 60+ years old (percentage),16.8
19,Americas,2021,Population density,26.6
19,Americas,2021,Surface area (thousand km2),"38,791"
19,Americas,2022,Population mid-year estimates (millions),"1,037.14"
19,Americas,2022,Population mid-year estimates for males (millions),511.8
19,Americas,2022,Population mid-year estimates for females (millions),525.34
19,Americas,2022,Sex ratio (males per 100 females),97.4
19,Americas,2022,Population aged 0 to 14 years old (percentage),21.2
19,Americas,2022,Population aged 60+ years old (percentage),17.2
19,Americas,2022,Population density,26.7
21,Northern America,2010,Population mid-year estimates (millions),345.27
21,Northern America,2010,Population mid-year estimates for males (millions),170.17
21,Northern America,2010,Population mid-year estimates for females (millions),175.1
21,Northern America,2010,Sex ratio (males per 100 females),97.2
21,Northern America,2010,Population aged 0 to 14 years old (percentage),19.5
21,Northern America,2010,Population aged 60+ years old (percentage),18.4
21,Northern America,2010,Population density,18.5
21,Northern America,2015,Population mid-year estimates (millions),360.46
21,Northern America,2015,Population mid-year estimates for males (millions),178.29
21,Northern America,2015,Population mid-year estimates for females (millions),182.18
21,Northern America,2015,Sex ratio (males per 100 females),97.9
21,Northern America,2015,Population aged 0 to 14 years old (percentage),19
21,Northern America,2015,Population aged 60+ years old (percentage),20.5
21,Northern America,2015,Population density,19.3
21,Northern America,2021,Population mid-year estimates (millions),375.28
21,Northern America,2021,Population mid-year estimates for males (millions),185.97
21,Northern America,2021,Population mid-year estimates for females (millions),189.31
21,Northern America,2021,Sex ratio (males per 100 females),98.2
21,Northern America,2021,Population aged 0 to 14 years old (percentage),18
21,Northern America,2021,Population aged 60+ years old (percentage),23.2
21,Northern America,2021,Population density,20.1
21,Northern America,2021,Surface area (thousand km2),"18,652"
21,Northern America,2022,Population mid-year estimates (millions),376.87
21,Northern America,2022,Population mid-year estimates for males (millions),186.67
21,Northern America,2022,Population mid-year estimates for females (millions),190.2
21,Northern America,2022,Sex ratio (males per 100 females),98.1
21,Northern America,2022,Population aged 0 to 14 years old (percentage),17.7
21,Northern America,2022,Population aged 60+ years old (percentage),23.7
21,Northern America,2022,Population density,20.2
419,Latin America & the Caribbean,2010,Population mid-year estimates (millions),590.55
419,Latin America & the Caribbean,2010,Population mid-year estimates for males (millions),291.77
419,Latin America & the Caribbean,2010,Population mid-year estimates for females (millions),298.78
419,Latin America & the Caribbean,2010,Sex ratio (males per 100 females),97.7
419,Latin America & the Caribbean,2010,Population aged 0 to 14 years old (percentage),27.7
419,Latin America & the Caribbean,2010,Population aged 60+ years old (percentage),10
419,Latin America & the Caribbean,2010,Population density,29.1
419,Latin America & the Caribbean,2015,Population mid-year estimates (millions),623.08
419,Latin America & the Caribbean,2015,Population mid-year estimates for males (millions),307.53
419,Latin America & the Caribbean,2015,Population mid-year estimates for females (millions),315.55
419,Latin America & the Caribbean,2015,Sex ratio (males per 100 females),97.5
419,Latin America & the Caribbean,2015,Population aged 0 to 14 years old (percentage),25.6
419,Latin America & the Caribbean,2015,Population aged 60+ years old (percentage),11.3
419,Latin America & the Caribbean,2015,Population density,30.7
419,Latin America & the Caribbean,2021,Population mid-year estimates (millions),656.1
419,Latin America & the Caribbean,2021,Population mid-year estimates for males (millions),323.22
419,Latin America & the Caribbean,2021,Population mid-year estimates for females (millions),332.87
419,Latin America & the Caribbean,2021,Sex ratio (males per 100 females),97.1
419,Latin America & the Caribbean,2021,Population aged 0 to 14 years old (percentage),23.6
419,Latin America & the Caribbean,2021,Population aged 60+ years old (percentage),13.1
419,Latin America & the Caribbean,2021,Population density,32.4
419,Latin America & the Caribbean,2021,Surface area (thousand km2),"20,139"
419,Latin America & the Caribbean,2022,Population mid-year estimates (millions),660.27
419,Latin America & the Caribbean,2022,Population mid-year estimates for males (millions),325.13
419,Latin America & the Caribbean,2022,Population mid-year estimates for females (millions),335.14
419,Latin America & the Caribbean,2022,Sex ratio (males per 100 females),97
419,Latin America & the Caribbean,2022,Population aged 0 to 14 years old (percentage),23.2
419,Latin America & the Caribbean,2022,Population aged 60+ years old (percentage),13.4
419,Latin America & the Caribbean,2022,Population density,32.6
29,Caribbean,2010,Population mid-year estimates (millions),41.4
29,Caribbean,2010,Population mid-year estimates for males (millions),20.57
29,Caribbean,2010,Population mid-year estimates for females (millions),20.84
29,Caribbean,2010,Sex ratio (males per 100 females),98.7
29,Caribbean,2010,Population aged 0 to 14 years old (percentage),26.3
29,Caribbean,2010,Population aged 60+ years old (percentage),11.9
29,Caribbean,2010,Population density,186.9
29,Caribbean,2015,Population mid-year estimates (millions),42.75
29,Caribbean,2015,Population mid-year estimates for males (millions),21.21
29,Caribbean,2015,Population mid-year estimates for females (millions),21.55
29,Caribbean,2015,Sex ratio (males per 100 females),98.4
29,Caribbean,2015,Population aged 0 to 14 years old (percentage),24.8
29,Caribbean,2015,Population aged 60+ years old (percentage),13.1
29,Caribbean,2015,Population density,193
29,Caribbean,2021,Population mid-year estimates (millions),44.18
29,Caribbean,2021,Population mid-year estimates for males (millions),21.85
29,Caribbean,2021,Population mid-year estimates for females (millions),22.33
29,Caribbean,2021,Sex ratio (males per 100 females),97.9
29,Caribbean,2021,Population aged 0 to 14 years old (percentage),23.4
29,Caribbean,2021,Population aged 60+ years old (percentage),14.8
29,Caribbean,2021,Population density,199.5
29,Caribbean,2021,Surface area (thousand km2),226
29,Caribbean,2022,Population mid-year estimates (millions),44.39
29,Caribbean,2022,Population mid-year estimates for males (millions),21.94
29,Caribbean,2022,Population mid-year estimates for females (millions),22.45
29,Caribbean,2022,Sex ratio (males per 100 females),97.8
29,Caribbean,2022,Population aged 0 to 14 years old (percentage),23.2
29,Caribbean,2022,Population aged 60+ years old (percentage),15.1
29,Caribbean,2022,Population density,200.4
13,Central America,2010,Population mid-year estimates (millions),156.06
13,Central America,2010,Population mid-year estimates for males (millions),76.68
13,Central America,2010,Population mid-year estimates for females (millions),79.39
13,Central America,2010,Sex ratio (males per 100 females),96.6
13,Central America,2010,Population aged 0 to 14 years old (percentage),31.3
13,Central America,2010,Population aged 60+ years old (percentage),8.4
13,Central America,2010,Population density,63.3
13,Central America,2015,Population mid-year estimates (millions),167.19
13,Central America,2015,Population mid-year estimates for males (millions),82.15
13,Central America,2015,Population mid-year estimates for females (millions),85.04
13,Central America,2015,Sex ratio (males per 100 females),96.6
13,Central America,2015,Population aged 0 to 14 years old (percentage),28.9
13,Central America,2015,Population aged 60+ years old (percentage),9.5
13,Central America,2015,Population density,67.8
13,Central America,2021,Population mid-year estimates (millions),177.66
13,Central America,2021,Population mid-year estimates for males (millions),87.1
13,Central America,2021,Population mid-year estimates for females (millions),90.56
13,Central America,2021,Sex ratio (males per 100 females),96.2
13,Central America,2021,Population aged 0 to 14 years old (percentage),26.2
13,Central America,2021,Population aged 60+ years old (percentage),11
13,Central America,2021,Population density,72.1
13,Central America,2021,Surface area (thousand km2),"2,452"
13,Central America,2022,Population mid-year estimates (millions),179.06
13,Central America,2022,Population mid-year estimates for males (millions),87.73
13,Central America,2022,Population mid-year estimates for females (millions),91.33
13,Central America,2022,Sex ratio (males per 100 females),96.1
13,Central America,2022,Population aged 0 to 14 years old (percentage),25.8
13,Central America,2022,Population aged 60+ years old (percentage),11.3
13,Central America,2022,Population density,72.7
5,South America,2010,Population mid-year estimates (millions),393.08
5,South America,2010,Population mid-year estimates for males (millions),194.52
5,South America,2010,Population mid-year estimates for females (millions),198.56
5,South America,2010,Sex ratio (males per 100 females),98
5,South America,2010,Population aged 0 to 14 years old (percentage),26.4
5,South America,2010,Population aged 60+ years old (percentage),10.5
5,South America,2010,Population density,22.4
5,South America,2015,Population mid-year estimates (millions),413.13
5,South America,2015,Population mid-year estimates for males (millions),204.17
5,South America,2015,Population mid-year estimates for females (millions),208.96
5,South America,2015,Sex ratio (males per 100 females),97.7
5,South America,2015,Population aged 0 to 14 years old (percentage),24.4
5,South America,2015,Population aged 60+ years old (percentage),11.9
5,South America,2015,Population density,23.5
5,South America,2021,Population mid-year estimates (millions),434.25
5,South America,2021,Population mid-year estimates for males (millions),214.27
5,South America,2021,Population mid-year estimates for females (millions),219.99
5,South America,2021,Sex ratio (males per 100 females),97.4
5,South America,2021,Population aged 0 to 14 years old (percentage),22.5
5,South America,2021,Population aged 60+ years old (percentage),13.8
5,South America,2021,Population density,24.7
5,South America,2021,Surface area (thousand km2),"17,461"
5,South America,2022,Population mid-year estimates (millions),436.82
5,South America,2022,Population mid-year estimates for males (millions),215.45
5,South America,2022,Population mid-year estimates for females (millions),221.37
5,South America,2022,Sex ratio (males per 100 females),97.3
5,South America,2022,Population aged 0 to 14 years old (percentage),22.2
5,South America,2022,Population aged 60+ years old (percentage),14.1
5,South America,2022,Population density,24.8
142,Asia,2010,Population mid-year estimates (millions),"4,221.17"
142,Asia,2010,Population mid-year estimates for males (millions),"2,153.89"
142,Asia,2010,Population mid-year estimates for females (millions),"2,067.28"
142,Asia,2010,Sex ratio (males per 100 females),104.2
142,Asia,2010,Population aged 0 to 14 years old (percentage),26
142,Asia,2010,Population aged 60+ years old (percentage),10.2
142,Asia,2010,Population density,134.6
142,Asia,2015,Population mid-year estimates (millions),"4,459.44"
142,Asia,2015,Population mid-year estimates for males (millions),"2,274.43"
142,Asia,2015,Population mid-year estimates for females (millions),"2,185.01"
142,Asia,2015,Sex ratio (males per 100 females),104.1
142,Asia,2015,Population aged 0 to 14 years old (percentage),25
142,Asia,2015,Population aged 60+ years old (percentage),11.7
142,Asia,2015,Population density,142.2
142,Asia,2021,Population mid-year estimates (millions),"4,694.58"
142,Asia,2021,Population mid-year estimates for males (millions),"2,389.59"
142,Asia,2021,Population mid-year estimates for females (millions),"2,304.99"
142,Asia,2021,Sex ratio (males per 100 females),103.7
142,Asia,2021,Population aged 0 to 14 years old (percentage),23.5
142,Asia,2021,Population aged 60+ years old (percentage),13.5
142,Asia,2021,Population density,149.7
142,Asia,2021,Surface area (thousand km2),"31,033"
142,Asia,2022,Population mid-year estimates (millions),"4,722.63"
142,Asia,2022,Population mid-year estimates for males (millions),"2,402.86"
142,Asia,2022,Population mid-year estimates for females (millions),"2,319.78"
142,Asia,2022,Sex ratio (males per 100 females),103.6
142,Asia,2022,Population aged 0 to 14 years old (percentage),23.2
142,Asia,2022,Population aged 60+ years old (percentage),13.7
142,Asia,2022,Population density,150.6
143,Central Asia,2010,Population mid-year estimates (millions),63.62
143,Central Asia,2010,Population mid-year estimates for males (millions),31.3
143,Central Asia,2010,Population mid-year estimates for females (millions),32.32
143,Central Asia,2010,Sex ratio (males per 100 females),96.8
143,Central Asia,2010,Population aged 0 to 14 years old (percentage),29.1
143,Central Asia,2010,Population aged 60+ years old (percentage),7.1
143,Central Asia,2010,Population density,16.2
143,Central Asia,2015,Population mid-year estimates (millions),68.99
143,Central Asia,2015,Population mid-year estimates for males (millions),34.04
143,Central Asia,2015,Population mid-year estimates for females (millions),34.95
143,Central Asia,2015,Sex ratio (males per 100 females),97.4
143,Central Asia,2015,Population aged 0 to 14 years old (percentage),29.6
143,Central Asia,2015,Population aged 60+ years old (percentage),7.8
143,Central Asia,2015,Population density,17.6
143,Central Asia,2022,Population mid-year estimates (millions),77.04
143,Central Asia,2022,Population mid-year estimates for males (millions),38.11
143,Central Asia,2022,Population mid-year estimates for females (millions),38.93
143,Central Asia,2022,Sex ratio (males per 100 females),97.9
143,Central Asia,2022,Population aged 0 to 14 years old (percentage),31.3
143,Central Asia,2022,Population aged 60+ years old (percentage),9.3
143,Central Asia,2022,Population density,19.6
30,Eastern Asia,2010,Population mid-year estimates (millions),"1,583.27"
30,Eastern Asia,2010,Population mid-year estimates for males (millions),805.43
30,Eastern Asia,2010,Population mid-year estimates for females (millions),777.85
30,Eastern Asia,2010,Sex ratio (males per 100 females),103.5
30,Eastern Asia,2010,Population aged 0 to 14 years old (percentage),18
30,Eastern Asia,2010,Population aged 60+ years old (percentage),14.4
30,Eastern Asia,2010,Population density,134.3
30,Eastern Asia,2015,Population mid-year estimates (millions),"1,631.71"
30,Eastern Asia,2015,Population mid-year estimates for males (millions),830.03
30,Eastern Asia,2015,Population mid-year estimates for females (millions),801.68
30,Eastern Asia,2015,Sex ratio (males per 100 females),103.5
30,Eastern Asia,2015,Population aged 0 to 14 years old (percentage),17.7
30,Eastern Asia,2015,Population aged 60+ years old (percentage),17.1
30,Eastern Asia,2015,Population density,138.4
30,Eastern Asia,2021,Population mid-year estimates (millions),"1,663.70"
30,Eastern Asia,2021,Population mid-year estimates for males (millions),844.61
30,Eastern Asia,2021,Population mid-year estimates for females (millions),819.09
30,Eastern Asia,2021,Sex ratio (males per 100 females),103.1
30,Eastern Asia,2021,Population aged 0 to 14 years old (percentage),17
30,Eastern Asia,2021,Population aged 60+ years old (percentage),19.7
